Split Name,Index,Source File
train,0,Grp13_conv_random/mdl_conv_random_mdl_15
train,1,Grp9_conv_tower_mdl/mdl_conv_tower_mdl_61
train,2,Grp9_conv_tower_mdl/mdl_conv_tower_mdl_100
train,3,Grp11_tower_mdl/mdl_tower_mdl_172
train,4,Grp5_tower_mdl/mdl_tower_fix_acti_mdl_92
train,5,Grp9_conv_tower_mdl/mdl_conv_tower_mdl_71
train,6,Grp8_tower_mdl/mdl_tower_mdl_177
train,7,Grp5_tower_mdl/mdl_tower_fix_acti_mdl_275
train,8,Grp11_tower_mdl/mdl_tower_mdl_390
train,9,Grp8_tower_mdl/mdl_tower_mdl_51
train,10,Grp5_tower_mdl/mdl_tower_fix_acti_mdl_34
train,11,Grp2_ramdon_mdl_Brando2/mdl_random_mdl_243
train,12,Grp5_tower_mdl/mdl_tower_fix_acti_mdl_84
train,13,Grp10_conv_tower_mdl/mdl_conv_tower_mdl_61
train,14,Grp11_tower_mdl/mdl_tower_mdl_387
train,15,Grp12_ramdon_mdl/mdl_random_mdl_94
train,16,Grp8_tower_mdl/mdl_tower_mdl_181
train,17,Grp2_ramdon_mdl_Brando2/mdl_random_mdl_21
train,18,Grp10_conv_tower_mdl/mdl_conv_tower_mdl_24
train,19,Grp10_conv_tower_mdl/mdl_conv_tower_mdl_56
train,20,Grp2_ramdon_mdl_Brando2/mdl_random_mdl_361
train,21,Grp13_conv_random/mdl_conv_random_mdl_60
train,22,Grp10_conv_tower_mdl/mdl_conv_tower_mdl_59
train,23,Grp10_conv_tower_mdl/mdl_conv_tower_mdl_129
train,24,Grp10_conv_tower_mdl/mdl_conv_tower_mdl_63
train,25,Grp11_tower_mdl/mdl_tower_mdl_377
train,26,Grp2_ramdon_mdl_Brando2/mdl_random_mdl_259
train,27,Grp11_tower_mdl/mdl_tower_mdl_270
train,28,Grp5_tower_mdl/mdl_tower_fix_acti_mdl_213
train,29,Grp5_tower_mdl/mdl_tower_fix_acti_mdl_186
train,30,Grp2_ramdon_mdl_Brando2/mdl_random_mdl_264
train,31,Grp11_tower_mdl/mdl_tower_mdl_349
train,32,Grp11_tower_mdl/mdl_tower_mdl_252
train,33,Grp2_ramdon_mdl_Brando2/mdl_random_mdl_187
train,34,Grp11_tower_mdl/mdl_tower_mdl_405
train,35,Grp3_ramdon_mdl/mdl_random_mdl_39
train,36,Grp5_tower_mdl/mdl_tower_fix_acti_mdl_106
train,37,Grp9_conv_tower_mdl/mdl_conv_tower_mdl_1
train,38,Grp13_conv_random/mdl_conv_random_mdl_121
train,39,Grp2_ramdon_mdl_Brando2/mdl_random_mdl_230
train,40,Grp11_tower_mdl/mdl_tower_mdl_54
train,41,Grp2_ramdon_mdl_Brando2/mdl_random_mdl_132
train,42,Grp2_ramdon_mdl_Brando2/mdl_random_mdl_173
train,43,Grp2_ramdon_mdl_Brando2/mdl_random_mdl_25
train,44,Grp2_ramdon_mdl_Brando2/mdl_random_mdl_252
train,45,Grp2_ramdon_mdl_Brando2/mdl_random_mdl_236
train,46,Grp12_ramdon_mdl/mdl_random_mdl_26
train,47,Grp4_tower_mdl/mdl_tower_mdl_43
train,48,Grp7_tower_mdl/mdl_tower_mdl_30
train,49,Grp11_tower_mdl/mdl_tower_mdl_110
train,50,Grp8_tower_mdl/mdl_tower_mdl_95
train,51,Grp13_conv_random/mdl_conv_random_mdl_117
train,52,Grp5_tower_mdl/mdl_tower_fix_acti_mdl_54
train,53,Grp8_tower_mdl/mdl_tower_mdl_165
train,54,Grp10_conv_tower_mdl/mdl_conv_tower_mdl_150
train,55,Grp13_conv_random/mdl_conv_random_mdl_59
train,56,Grp2_ramdon_mdl_Brando2/mdl_random_mdl_95
train,57,Grp11_tower_mdl/mdl_tower_mdl_322
train,58,Grp11_tower_mdl/mdl_tower_mdl_466
train,59,Grp11_tower_mdl/mdl_tower_mdl_273
train,60,Grp13_conv_random/mdl_conv_random_mdl_120
train,61,Grp2_ramdon_mdl_Brando2/mdl_random_mdl_270
train,62,Grp3_ramdon_mdl/mdl_random_mdl_40
train,63,Grp10_conv_tower_mdl/mdl_conv_tower_mdl_232
train,64,Grp13_conv_random/mdl_conv_random_mdl_91
train,65,Grp4_tower_mdl/mdl_tower_mdl_57
train,66,Grp5_tower_mdl/mdl_tower_fix_acti_mdl_38
train,67,Grp9_conv_tower_mdl/mdl_conv_tower_mdl_82
train,68,Grp10_conv_tower_mdl/mdl_conv_tower_mdl_182
train,69,Grp4_tower_mdl/mdl_tower_mdl_41
train,70,Grp8_tower_mdl/mdl_tower_mdl_167
train,71,Grp3_ramdon_mdl/mdl_random_mdl_67
train,72,Grp5_tower_mdl/mdl_tower_fix_acti_mdl_39
train,73,Grp11_tower_mdl/mdl_tower_mdl_4
train,74,Grp5_tower_mdl/mdl_tower_fix_acti_mdl_55
train,75,Grp8_tower_mdl/mdl_tower_mdl_183
train,76,Grp2_ramdon_mdl_Brando2/mdl_random_mdl_234
train,77,Grp5_tower_mdl/mdl_tower_fix_acti_mdl_221
train,78,Grp2_ramdon_mdl_Brando2/mdl_random_mdl_91
train,79,Grp10_conv_tower_mdl/mdl_conv_tower_mdl_100
train,80,Grp8_tower_mdl/mdl_tower_mdl_33
train,81,Grp13_conv_random/mdl_conv_random_mdl_1
train,82,Grp5_tower_mdl/mdl_tower_fix_acti_mdl_30
train,83,Grp5_tower_mdl/mdl_tower_fix_acti_mdl_333
train,84,Grp13_conv_random/mdl_conv_random_mdl_101
train,85,Grp3_ramdon_mdl/mdl_random_mdl_17
train,86,Grp8_tower_mdl/mdl_tower_mdl_169
train,87,Grp8_tower_mdl/mdl_tower_mdl_119
train,88,Grp2_ramdon_mdl_Brando2/mdl_random_mdl_293
train,89,Grp8_tower_mdl/mdl_tower_mdl_187
train,90,Grp12_ramdon_mdl/mdl_random_mdl_106
train,91,Grp11_tower_mdl/mdl_tower_mdl_71
train,92,Grp7_tower_mdl/mdl_tower_mdl_20
train,93,Grp11_tower_mdl/mdl_tower_mdl_472
train,94,Grp3_ramdon_mdl/mdl_random_mdl_80
train,95,Grp5_tower_mdl/mdl_tower_fix_acti_mdl_299
train,96,Grp13_conv_random/mdl_conv_random_mdl_46
train,97,Grp8_tower_mdl/mdl_tower_mdl_163
train,98,Grp9_conv_tower_mdl/mdl_conv_tower_mdl_134
train,99,Grp8_tower_mdl/mdl_tower_mdl_180
train,100,Grp11_tower_mdl/mdl_tower_mdl_431
train,101,Grp5_tower_mdl/mdl_tower_fix_acti_mdl_349
train,102,Grp11_tower_mdl/mdl_tower_mdl_303
train,103,Grp10_conv_tower_mdl/mdl_conv_tower_mdl_73
train,104,Grp11_tower_mdl/mdl_tower_mdl_227
train,105,Grp4_tower_mdl/mdl_tower_mdl_6
train,106,Grp8_tower_mdl/mdl_tower_mdl_98
train,107,Grp13_conv_random/mdl_conv_random_mdl_33
train,108,Grp8_tower_mdl/mdl_tower_mdl_242
train,109,Grp10_conv_tower_mdl/mdl_conv_tower_mdl_66
train,110,Grp10_conv_tower_mdl/mdl_conv_tower_mdl_176
train,111,Grp8_tower_mdl/mdl_tower_mdl_200
train,112,Grp9_conv_tower_mdl/mdl_conv_tower_mdl_120
train,113,Grp10_conv_tower_mdl/mdl_conv_tower_mdl_212
train,114,Grp2_ramdon_mdl_Brando2/mdl_random_mdl_130
train,115,Grp5_tower_mdl/mdl_tower_fix_acti_mdl_251
train,116,Grp11_tower_mdl/mdl_tower_mdl_75
train,117,Grp2_ramdon_mdl_Brando2/mdl_random_mdl_83
train,118,Grp2_ramdon_mdl_Brando2/mdl_random_mdl_160
train,119,Grp8_tower_mdl/mdl_tower_mdl_122
train,120,Grp2_ramdon_mdl_Brando2/mdl_random_mdl_198
train,121,Grp13_conv_random/mdl_conv_random_mdl_95
train,122,Grp5_tower_mdl/mdl_tower_fix_acti_mdl_89
train,123,Grp10_conv_tower_mdl/mdl_conv_tower_mdl_225
train,124,Grp8_tower_mdl/mdl_tower_mdl_164
train,125,Grp5_tower_mdl/mdl_tower_fix_acti_mdl_164
train,126,Grp2_ramdon_mdl_Brando2/mdl_random_mdl_294
train,127,Grp3_ramdon_mdl/mdl_random_mdl_31
train,128,Grp9_conv_tower_mdl/mdl_conv_tower_mdl_18
train,129,Grp2_ramdon_mdl_Brando2/mdl_random_mdl_115
train,130,Grp9_conv_tower_mdl/mdl_conv_tower_mdl_101
train,131,Grp2_ramdon_mdl_Brando2/mdl_random_mdl_103
train,132,Grp2_ramdon_mdl_Brando2/mdl_random_mdl_245
train,133,Grp11_tower_mdl/mdl_tower_mdl_410
train,134,Grp7_tower_mdl/mdl_tower_mdl_33
train,135,Grp5_tower_mdl/mdl_tower_fix_acti_mdl_107
train,136,Grp11_tower_mdl/mdl_tower_mdl_242
train,137,Grp11_tower_mdl/mdl_tower_mdl_48
train,138,Grp8_tower_mdl/mdl_tower_mdl_229
train,139,Grp9_conv_tower_mdl/mdl_conv_tower_mdl_22
train,140,Grp11_tower_mdl/mdl_tower_mdl_136
train,141,Grp4_tower_mdl/mdl_tower_mdl_15
train,142,Grp5_tower_mdl/mdl_tower_fix_acti_mdl_235
train,143,Grp12_ramdon_mdl/mdl_random_mdl_64
train,144,Grp5_tower_mdl/mdl_tower_fix_acti_mdl_286
train,145,Grp10_conv_tower_mdl/mdl_conv_tower_mdl_202
train,146,Grp2_ramdon_mdl_Brando2/mdl_random_mdl_287
train,147,Grp11_tower_mdl/mdl_tower_mdl_437
train,148,Grp11_tower_mdl/mdl_tower_mdl_328
train,149,Grp2_ramdon_mdl_Brando2/mdl_random_mdl_76
train,150,Grp11_tower_mdl/mdl_tower_mdl_228
train,151,Grp11_tower_mdl/mdl_tower_mdl_370
train,152,Grp13_conv_random/mdl_conv_random_mdl_128
train,153,Grp5_tower_mdl/mdl_tower_fix_acti_mdl_37
train,154,Grp11_tower_mdl/mdl_tower_mdl_271
train,155,Grp13_conv_random/mdl_conv_random_mdl_135
train,156,Grp9_conv_tower_mdl/mdl_conv_tower_mdl_15
train,157,Grp11_tower_mdl/mdl_tower_mdl_371
train,158,Grp11_tower_mdl/mdl_tower_mdl_20
train,159,Grp11_tower_mdl/mdl_tower_mdl_160
train,160,Grp2_ramdon_mdl_Brando2/mdl_random_mdl_12
train,161,Grp5_tower_mdl/mdl_tower_fix_acti_mdl_272
train,162,Grp11_tower_mdl/mdl_tower_mdl_213
train,163,Grp11_tower_mdl/mdl_tower_mdl_272
train,164,Grp11_tower_mdl/mdl_tower_mdl_194
train,165,Grp5_tower_mdl/mdl_tower_fix_acti_mdl_232
train,166,Grp8_tower_mdl/mdl_tower_mdl_101
